source_database,sha256,size_bytes,wind_sensor_name,sensor_match_basis,source_rows,matched_source_rows,excluded_source_rows,first_timestamp_raw,last_timestamp_raw,units_table,log_interval_table
portable/raw/updated_wind/LlamaLog.s3db,0198321fb7c7493c212a2019308bf3c4199c5ea738bad2a18d11612a2ec86a84,15333376,,not_a_study_sensor_filename,199556,0,199556,2024-10-14 13:29:00,2025-03-18 17:46:00,[[2]],[[1]]
portable/raw/updated_wind/MintCool.s3db,1f3b7f2e4c79027aabfaef62645ec1fc2f874ae8fb9e6922ea3084119a74f9fd,17102848,,not_a_study_sensor_filename,224766,0,224766,2008-01-01 00:01:00,2025-03-19 20:10:00,[[2]],[[1]]
portable/raw/updated_wind/MoonTide.s3db,b8b82b1580e381f2eb6ae7641299faf5e91c5d692fe39d9b457dd653ff20a0bf,5501952,MoonTide,exact_case_insensitive_filename,72617,52478,20139,2023-12-02 16:07:00,2024-01-27 11:33:00,[[2]],[[1]]
portable/raw/updated_wind/MudTrack.s3db,848b47923ca14af9d51e3a0b691b2ed1b1443e191ba388561955607cf519b884,16926720,,not_a_study_sensor_filename,221822,0,221822,2024-10-15 12:12:00,2025-03-18 17:49:00,[[2]],[[1]]
portable/raw/updated_wind/OakTrust.s3db,1930ab9a62fd880ffaa1686ea6a1eba0fac8b960e5290ea3bdc3d573c1703a95,1928192,OakTrust,exact_case_insensitive_filename,25688,24515,1173,2008-01-01 00:01:00,2024-01-05 14:18:00,[[2]],[[1]]
portable/raw/updated_wind/PugSnore.s3db,0c9ba052360b391d98c63575a97ab72f0fff44a72b5fc23a0cec0e5b26df4d15,6554624,PugSnore,exact_case_insensitive_filename,86525,85053,1472,2008-01-01 00:01:00,2024-02-05 13:44:00,[[2]],[[1]]
portable/raw/updated_wind/PureWave.s3db,1373b11eb203404b8aa94c35f3fecd0ab202da3a6b5fc5d9c132cf592ed1e615,33267712,,not_a_study_sensor_filename,434613,0,434613,2008-01-01 00:01:00,2025-03-18 18:03:00,[[2]],[[1]]
portable/raw/updated_wind/RockWall.s3db,486cc13ffd5d7c6de984e4579176f70e778f87407154bc22696368a8450040fa,5901312,RockWall,exact_case_insensitive_filename,77696,76314,1382,2024-10-30 13:48:00,2025-01-14 22:01:00,[[2]],[[1]]
portable/raw/updated_wind/RoseKiss.s3db,25c974fdf5241e7676be531ccf3ad3038f741a2be49432c4707cfa7e1d237cae,18026496,,not_a_study_sensor_filename,234990,0,234990,2008-01-01 00:01:00,2024-04-09 11:37:00,[[2]],[[1]]
portable/raw/updated_wind/SandDune.s3db,16b399702604219fdba0bdfe12bf5d735af1afa03e15e66f4ad013ecd0b97335,2728960,,not_a_study_sensor_filename,36324,0,36324,2024-01-05 18:08:00,2024-04-09 11:45:00,[[2]],[[1]]
portable/raw/updated_wind/StarDust.s3db,91c11d277c57984c5d847b70371750abb21af9145aa7a1676d0cf28d2ab5eb60,6581248,StarDust,exact_case_insensitive_filename,86783,79023,7760,2008-01-01 00:01:00,2024-03-14 13:21:00,[[2]],[[1]]
portable/raw/updated_wind/SunRuler.s3db,47539df202558475563fb46807be8cef56b83b9b68012dbd6311d931723f96e9,1416192,SunRuler,exact_case_insensitive_filename,18978,18922,56,2024-01-05 10:41:00,2024-01-18 15:20:00,[[2]],[[1]]
portable/raw/updated_wind/TechCore.s3db,500e9ff8c2f6857454421d50f5f413a5ce1debd38260661bedcb100d8fb9a722,17904640,,not_a_study_sensor_filename,235127,0,235127,2023-10-10 21:35:00,2024-04-09 15:55:00,[[2]],[[1]]
portable/raw/updated_wind/TopScore.s3db,54dcef727f6d152488bf305904ab5830bcede3413d1243d01e74538c7a96102f,17119232,,not_a_study_sensor_filename,223173,0,223173,2008-01-01 00:01:00,2025-03-18 17:41:00,[[2]],[[1]]
portable/raw/updated_wind/TreeTalk.s3db,5f66454d7f3a07fffb2f71f0d12566814019b46b1162b23ca915d16346a833ed,1418240,TreeTalk,exact_case_insensitive_filename,19017,18971,46,2008-01-01 00:01:00,2024-02-05 16:09:00,[[2]],[[1]]
portable/raw/updated_wind/VoltRush.s3db,8c21315fefb1bc900389ca4fd5b02d5b3a03bda920f14935af12e407d36ae705,16936960,,not_a_study_sensor_filename,222382,0,222382,2024-10-14 13:06:00,2025-03-18 17:54:00,[[2]],[[1]]
portable/raw/updated_wind/WindFury.s3db,10da65c9a025816e80e6c3f7500bbcd407e74292e0db238e7fea562b8758248e,18159616,,not_a_study_sensor_filename,238716,0,238716,2008-01-01 00:01:00,2024-04-09 12:00:00,[[2]],[[1]]
portable/raw/updated_wind/WingSpan.s3db,545d17e2fd1135a32b3402d2dfd2ea8ea935a2381c6bbc04d2ff206943f5b3d0,17864704,,not_a_study_sensor_filename,233353,0,233353,2008-01-01 00:01:00,2024-04-09 11:44:00,[[2]],[[1]]
portable/raw/updated_wind/ZenGlobe.s3db,4021d3dcb86d85ad0ded22fd69dcea41fbea2d6e05ada1ec607816bade4d3c63,4307968,,not_a_study_sensor_filename,56142,0,56142,2023-08-30 15:40:00,2023-11-04 17:12:00,[[2]],[[1]]
