season,deployment_id,camera_name,image_filename,timestamp_recorded,temperature_c
2023-2024,SC9,WASP,SC9_20240124233201.JPG,2024-01-24T23:32:01,13.0
2023-2024,SC9,WASP,SC9_20240124234201.JPG,2024-01-24T23:42:01,12.0
2023-2024,SC9,WASP,SC9_20240124235201.JPG,2024-01-24T23:52:01,13.0
2023-2024,SC9,WASP,SC9_20240125000201.JPG,2024-01-25T00:02:01,13.0
2023-2024,SC9,WASP,SC9_20240125001201.JPG,2024-01-25T00:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125002201.JPG,2024-01-25T00:22:01,13.0
2023-2024,SC9,WASP,SC9_20240125003201.JPG,2024-01-25T00:32:01,13.0
2023-2024,SC9,WASP,SC9_20240125004201.JPG,2024-01-25T00:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125005201.JPG,2024-01-25T00:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125010201.JPG,2024-01-25T01:02:01,13.0
2023-2024,SC9,WASP,SC9_20240125011201.JPG,2024-01-25T01:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125012201.JPG,2024-01-25T01:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125013201.JPG,2024-01-25T01:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125014201.JPG,2024-01-25T01:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125015201.JPG,2024-01-25T01:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125020201.JPG,2024-01-25T02:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125021201.JPG,2024-01-25T02:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125022201.JPG,2024-01-25T02:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125023201.JPG,2024-01-25T02:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125024201.JPG,2024-01-25T02:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125025201.JPG,2024-01-25T02:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125030201.JPG,2024-01-25T03:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125031201.JPG,2024-01-25T03:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125032201.JPG,2024-01-25T03:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125033201.JPG,2024-01-25T03:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125034201.JPG,2024-01-25T03:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125035201.JPG,2024-01-25T03:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125040201.JPG,2024-01-25T04:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125041201.JPG,2024-01-25T04:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125042201.JPG,2024-01-25T04:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125043201.JPG,2024-01-25T04:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125044201.JPG,2024-01-25T04:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125045201.JPG,2024-01-25T04:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125050201.JPG,2024-01-25T05:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125051201.JPG,2024-01-25T05:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125052200.JPG,2024-01-25T05:22:00,12.0
2023-2024,SC9,WASP,SC9_20240125053201.JPG,2024-01-25T05:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125054201.JPG,2024-01-25T05:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125055201.JPG,2024-01-25T05:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125060201.JPG,2024-01-25T06:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125061201.JPG,2024-01-25T06:12:01,12.0
2023-2024,SC9,WASP,SC9_20240125062201.JPG,2024-01-25T06:22:01,12.0
2023-2024,SC9,WASP,SC9_20240125063201.JPG,2024-01-25T06:32:01,12.0
2023-2024,SC9,WASP,SC9_20240125064201.JPG,2024-01-25T06:42:01,12.0
2023-2024,SC9,WASP,SC9_20240125065201.JPG,2024-01-25T06:52:01,12.0
2023-2024,SC9,WASP,SC9_20240125070201.JPG,2024-01-25T07:02:01,12.0
2023-2024,SC9,WASP,SC9_20240125071201.JPG,2024-01-25T07:12:01,11.0
